pair,threshold_bps,cost_bps,regime_policy,oos_kind,execution_model,pair_scope,fold_count,insufficient_train_fold_count,total_signal_count,realized_event_count,censored_event_count,censor_rate,event_count,mean_net_bps,median_net_bps,win_rate,mae_bps,mfe_bps,holding_minutes,mean_mae_bps,median_mae_bps,mean_mfe_bps,median_mfe_bps,mean_holding_minutes,median_holding_minutes,capital_occupancy_rate,same_pair_blocked_overlap_signal_count,cross_pair_overlapping_event_count,naive_event_bootstrap_ci_low,naive_event_bootstrap_ci_high,block_bootstrap_ci_low,block_bootstrap_ci_high,bootstrap_mean_ci_low_bps,bootstrap_mean_ci_high_bps,bootstrap_method_primary,bootstrap_confidence_level,bootstrap_samples
binance/okx,150,40,NO_GATE_REGIME_FILTER,HISTORICAL_ROLLING_PSEUDO_OOS,NEXT_BAR_OPEN_PROXY,NON_GATE_PAIRS,19,19,2,2,0,0.0,2,-21.280315012391444,-21.280315012391444,0.5,3.770212972211695,45.15951758563563,37.5,3.770212972211695,3.770212972211695,45.15951758563563,45.15951758563563,37.5,37.5,0.0013564839934888768,2,0,-48.39477593056383,5.834145905780943,-21.280315012391444,-21.280315012391444,-21.280315012391444,-21.280315012391444,DAY_BLOCK_BOOTSTRAP,0.95,2000
binance/okx,150,80,NO_GATE_REGIME_FILTER,HISTORICAL_ROLLING_PSEUDO_OOS,NEXT_BAR_OPEN_PROXY,NON_GATE_PAIRS,19,19,2,2,0,0.0,2,-61.28031501239145,-61.28031501239145,0.0,3.770212972211695,45.15951758563563,37.5,3.770212972211695,3.770212972211695,45.15951758563563,45.15951758563563,37.5,37.5,0.0013564839934888768,2,0,-88.39477593056384,-34.16585409421906,-61.28031501239145,-61.28031501239145,-61.28031501239145,-61.28031501239145,DAY_BLOCK_BOOTSTRAP,0.95,2000
binance/okx,200,20,NO_GATE_REGIME_FILTER,HISTORICAL_ROLLING_PSEUDO_OOS,NEXT_BAR_OPEN_PROXY,NON_GATE_PAIRS,19,19,1,1,0,0.0,1,10.399381464612837,10.399381464612837,1.0,6.128390071133971,82.70086760622908,45.0,6.128390071133971,6.128390071133971,82.70086760622908,82.70086760622908,45.0,45.0,0.0008138903960933262,1,0,10.399381464612837,10.399381464612837,10.399381464612837,10.399381464612837,10.399381464612837,10.399381464612837,DAY_BLOCK_BOOTSTRAP,0.95,2000
binance/okx,200,40,NO_GATE_REGIME_FILTER,HISTORICAL_ROLLING_PSEUDO_OOS,NEXT_BAR_OPEN_PROXY,NON_GATE_PAIRS,19,19,1,1,0,0.0,1,-9.600618535387163,-9.600618535387163,0.0,6.128390071133971,82.70086760622908,45.0,6.128390071133971,6.128390071133971,82.70086760622908,82.70086760622908,45.0,45.0,0.0008138903960933262,1,0,-9.600618535387163,-9.600618535387163,-9.600618535387163,-9.600618535387163,-9.600618535387163,-9.600618535387163,DAY_BLOCK_BOOTSTRAP,0.95,2000
binance/okx,200,80,NO_GATE_REGIME_FILTER,HISTORICAL_ROLLING_PSEUDO_OOS,NEXT_BAR_OPEN_PROXY,NON_GATE_PAIRS,19,19,1,1,0,0.0,1,-49.60061853538716,-49.60061853538716,0.0,6.128390071133971,82.70086760622908,45.0,6.128390071133971,6.128390071133971,82.70086760622908,82.70086760622908,45.0,45.0,0.0008138903960933262,1,0,-49.60061853538716,-49.60061853538716,-49.60061853538716,-49.60061853538716,-49.60061853538716,-49.60061853538716,DAY_BLOCK_BOOTSTRAP,0.95,2000
bitget/gate,100,20,GATE_CAUSAL_ALLOWED_NORMAL_TRANSIENT,HISTORICAL_ROLLING_PSEUDO_OOS,NEXT_BAR_OPEN_PROXY,GATE_PAIRS,19,8,85,65,20,0.23529411764705882,65,4.116251858065298,-2.001010247427697,0.4307692307692308,0.05135195553991505,25.25851358810666,121.38461538461539,0.05135195553991505,-0.7284889101488723,25.25851358810666,19.29174945215495,121.38461538461539,45.0,0.14282722189266767,1208,0,-1.4564163379178305,10.722333870938769,-2.2392021934257373,13.935579272719753,-2.2392021934257373,13.935579272719753,DAY_BLOCK_BOOTSTRAP,0.95,2000
bitget/gate,100,40,GATE_CAUSAL_ALLOWED_NORMAL_TRANSIENT,HISTORICAL_ROLLING_PSEUDO_OOS,NEXT_BAR_OPEN_PROXY,GATE_PAIRS,19,8,85,65,20,0.23529411764705882,65,-15.883748141934705,-22.001010247427697,0.16923076923076924,0.05135195553991505,25.25851358810666,121.38461538461539,0.05135195553991505,-0.7284889101488723,25.25851358810666,19.29174945215495,121.38461538461539,45.0,0.14282722189266767,1208,0,-21.72995400510819,-9.343222199890342,-22.431567977810538,-6.146445733315161,-22.431567977810538,-6.146445733315161,DAY_BLOCK_BOOTSTRAP,0.95,2000
bitget/gate,100,80,GATE_CAUSAL_ALLOWED_NORMAL_TRANSIENT,HISTORICAL_ROLLING_PSEUDO_OOS,NEXT_BAR_OPEN_PROXY,GATE_PAIRS,19,8,85,65,20,0.23529411764705882,65,-55.8837481419347,-62.0010102474277,0.046153846153846156,0.05135195553991505,25.25851358810666,121.38461538461539,0.05135195553991505,-0.7284889101488723,25.25851358810666,19.29174945215495,121.38461538461539,45.0,0.14282722189266767,1208,0,-61.5355135355329,-49.39022370237495,-62.5269200225433,-47.02962802104371,-62.5269200225433,-47.02962802104371,DAY_BLOCK_BOOTSTRAP,0.95,2000
bitget/gate,150,20,GATE_CAUSAL_ALLOWED_NORMAL_TRANSIENT,HISTORICAL_ROLLING_PSEUDO_OOS,NEXT_BAR_OPEN_PROXY,GATE_PAIRS,19,11,46,40,6,0.13043478260869565,40,-0.7138835230401952,-6.11259834549958,0.375,2.343457635957779,20.749006703056434,112.875,2.343457635957779,0.7440103985534297,20.749006703056434,16.600606918379945,112.875,30.0,0.08182761267251241,521,0,-6.065687031417189,5.159672807977583,-5.36936789206073,8.726650684149696,-5.36936789206073,8.726650684149696,DAY_BLOCK_BOOTSTRAP,0.95,2000
bitget/gate,150,40,GATE_CAUSAL_ALLOWED_NORMAL_TRANSIENT,HISTORICAL_ROLLING_PSEUDO_OOS,NEXT_BAR_OPEN_PROXY,GATE_PAIRS,19,11,46,40,6,0.13043478260869565,40,-20.713883523040195,-26.11259834549958,0.125,2.343457635957779,20.749006703056434,112.875,2.343457635957779,0.7440103985534297,20.749006703056434,16.600606918379945,112.875,30.0,0.08182761267251241,521,0,-26.137471576740754,-15.027991720192492,-25.376776753803814,-11.295067057156812,-25.376776753803814,-11.295067057156812,DAY_BLOCK_BOOTSTRAP,0.95,2000
