fold_id,pair,cost_bps,threshold_bps,train_start,train_end,test_start,test_end,regime_lookback_bars,regime_persistence_ratio,regime_structural_abs_bps,regime_transient_abs_bps,execution_model,selected_on,frozen_during_test
2,bitget/okx,80,200,2026-06-12 06:30:00+00:00,2026-06-19 08:00:00+00:00,2026-06-19 08:00:00+00:00,2026-06-21 08:30:00+00:00,8,0.8,44.37292666900355,44.37292666900355,NEXT_BAR_OPEN_PROXY,TRAIN_ONLY,True
2,gate/hyperliquid,20,200,2026-06-12 06:30:00+00:00,2026-06-19 08:00:00+00:00,2026-06-19 08:00:00+00:00,2026-06-21 08:30:00+00:00,8,0.8,55.91147402472183,55.91147402472183,NEXT_BAR_OPEN_PROXY,TRAIN_ONLY,True
2,gate/hyperliquid,40,200,2026-06-12 06:30:00+00:00,2026-06-19 08:00:00+00:00,2026-06-19 08:00:00+00:00,2026-06-21 08:30:00+00:00,8,0.8,55.91147402472183,55.91147402472183,NEXT_BAR_OPEN_PROXY,TRAIN_ONLY,True
2,gate/hyperliquid,80,200,2026-06-12 06:30:00+00:00,2026-06-19 08:00:00+00:00,2026-06-19 08:00:00+00:00,2026-06-21 08:30:00+00:00,8,0.8,55.91147402472183,55.91147402472183,NEXT_BAR_OPEN_PROXY,TRAIN_ONLY,True
2,gate/okx,20,200,2026-06-12 06:30:00+00:00,2026-06-19 08:00:00+00:00,2026-06-19 08:00:00+00:00,2026-06-21 08:30:00+00:00,8,0.8,24.016644254245254,24.016644254245254,NEXT_BAR_OPEN_PROXY,TRAIN_ONLY,True
2,gate/okx,40,200,2026-06-12 06:30:00+00:00,2026-06-19 08:00:00+00:00,2026-06-19 08:00:00+00:00,2026-06-21 08:30:00+00:00,8,0.8,24.016644254245254,24.016644254245254,NEXT_BAR_OPEN_PROXY,TRAIN_ONLY,True
2,gate/okx,80,200,2026-06-12 06:30:00+00:00,2026-06-19 08:00:00+00:00,2026-06-19 08:00:00+00:00,2026-06-21 08:30:00+00:00,8,0.8,24.016644254245254,24.016644254245254,NEXT_BAR_OPEN_PROXY,TRAIN_ONLY,True
2,hyperliquid/okx,20,200,2026-06-12 06:30:00+00:00,2026-06-19 08:00:00+00:00,2026-06-19 08:00:00+00:00,2026-06-21 08:30:00+00:00,8,0.8,38.94235849115836,38.94235849115836,NEXT_BAR_OPEN_PROXY,TRAIN_ONLY,True
2,hyperliquid/okx,40,200,2026-06-12 06:30:00+00:00,2026-06-19 08:00:00+00:00,2026-06-19 08:00:00+00:00,2026-06-21 08:30:00+00:00,8,0.8,38.94235849115836,38.94235849115836,NEXT_BAR_OPEN_PROXY,TRAIN_ONLY,True
2,hyperliquid/okx,80,200,2026-06-12 06:30:00+00:00,2026-06-19 08:00:00+00:00,2026-06-19 08:00:00+00:00,2026-06-21 08:30:00+00:00,8,0.8,38.94235849115836,38.94235849115836,NEXT_BAR_OPEN_PROXY,TRAIN_ONLY,True
3,binance/bitget,20,200,2026-06-14 07:00:00+00:00,2026-06-21 08:30:00+00:00,2026-06-21 08:30:00+00:00,2026-06-23 09:00:00+00:00,8,0.8,41.427675272674946,41.427675272674946,NEXT_BAR_OPEN_PROXY,TRAIN_ONLY,True
3,binance/bitget,40,200,2026-06-14 07:00:00+00:00,2026-06-21 08:30:00+00:00,2026-06-21 08:30:00+00:00,2026-06-23 09:00:00+00:00,8,0.8,41.427675272674946,41.427675272674946,NEXT_BAR_OPEN_PROXY,TRAIN_ONLY,True
