analysis_scope,execution_model,pair,threshold_bps,cost_bps,event_count_total,realized_event_count,censored_event_count,positive_event_count,win_rate,sum_event_net_bps,mean_event_net_bps,median_event_net_bps,p05_event_net_bps,p95_event_net_bps,mean_holding_minutes,median_holding_minutes,max_holding_minutes,joint_start,joint_end
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,bitget/gate,50,20,88,88,0,20,0.22727272727272727,-650.795374468177,-7.3954019825929205,-10.63669180042302,-24.849938716421253,19.67007683821743,321.64772727272725,15.0,9030.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,bitget/gate,50,40,88,88,0,5,0.056818181818181816,-2410.795374468177,-27.395401982592922,-30.63669180042302,-44.849938716421256,-0.32992316178256975,321.64772727272725,15.0,9030.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,bitget/gate,50,80,88,88,0,0,0.0,-5930.795374468177,-67.39540198259293,-70.63669180042302,-84.84993871642125,-40.32992316178257,321.64772727272725,15.0,9030.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,bitget/gate,100,20,70,70,0,26,0.37142857142857144,-65.5050114132617,-0.93578587733231,-4.910137102965546,-22.677659242266863,28.21655502534083,293.35714285714283,45.0,7080.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,bitget/gate,100,40,70,70,0,7,0.1,-1465.5050114132623,-20.935785877332318,-24.910137102965546,-42.67765924226686,8.216555025340833,293.35714285714283,45.0,7080.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,bitget/gate,100,80,70,70,0,1,0.014285714285714285,-4265.505011413262,-60.935785877332314,-64.91013710296554,-82.67765924226687,-31.78344497465917,293.35714285714283,45.0,7080.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,bitget/gate,150,20,41,41,0,12,0.2926829268292683,-101.14071053857963,-2.466846598501942,-8.316550717669662,-26.588278485025164,36.35009053213665,220.97560975609755,30.0,4125.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,bitget/gate,150,40,41,41,0,5,0.12195121951219512,-921.1407105385796,-22.46684659850194,-28.316550717669664,-46.588278485025164,16.350090532136647,220.97560975609755,30.0,4125.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,bitget/gate,150,80,41,41,0,1,0.024390243902439025,-2561.1407105385792,-62.46684659850193,-68.31655071766966,-86.58827848502517,-23.649909467863353,220.97560975609755,30.0,4125.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,bitget/gate,200,20,5,5,0,4,0.8,62.78664702056635,12.55732940411327,7.363755034750525,-22.14807747499844,45.01540661618543,168.0,45.0,675.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,bitget/gate,200,40,5,5,0,2,0.4,-37.21335297943365,-7.44267059588673,-12.636244965249475,-42.148077474998445,25.01540661618543,168.0,45.0,675.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,bitget/gate,200,80,5,5,0,0,0.0,-237.21335297943364,-47.442670595886725,-52.636244965249475,-82.14807747499844,-14.98459338381457,168.0,45.0,675.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,bitget/hyperliquid,20,20,47,46,1,11,0.2391304347826087,-487.5365807005739,-10.598621319577694,-12.424025663577346,-33.076018884325975,9.75158017412165,1046.4130434782608,105.0,12780.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,bitget/hyperliquid,20,40,47,46,1,1,0.021739130434782608,-1407.5365807005735,-30.598621319577685,-32.424025663577346,-53.076018884325975,-10.24841982587835,1046.4130434782608,105.0,12780.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,bitget/hyperliquid,20,80,47,46,1,0,0.0,-3247.5365807005737,-70.59862131957769,-72.42402566357734,-93.07601888432598,-50.24841982587835,1046.4130434782608,105.0,12780.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,bitget/hyperliquid,50,20,170,170,0,16,0.09411764705882353,-2021.0057375261708,-11.888269044271594,-12.510867594692376,-24.65330562900952,5.853079104962724,221.38235294117646,30.0,4680.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,bitget/hyperliquid,50,40,170,170,0,3,0.01764705882352941,-5421.00573752617,-31.888269044271592,-32.51086759469237,-44.653305629009516,-14.146920895037276,221.38235294117646,30.0,4680.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,bitget/hyperliquid,50,80,170,170,0,0,0.0,-12221.005737526171,-71.8882690442716,-72.51086759469237,-84.65330562900952,-54.146920895037276,221.38235294117646,30.0,4680.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,bitget/hyperliquid,100,20,81,81,0,18,0.2222222222222222,-605.1706858369438,-7.471243035023997,-9.26358899689238,-22.45132770408877,12.188747215453617,79.07407407407408,15.0,1320.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
