pair,strategy_direction,entry_threshold_bps,exit_rule,event_count,median_gross_bps,max_drawdown_proxy_bps,positive_event_count_10bps,positive_event_ratio_10bps,median_net_10bps,p05_net_10bps,p95_net_10bps,positive_event_count_20bps,positive_event_ratio_20bps,median_net_20bps,p05_net_20bps,p95_net_20bps,positive_event_count_40bps,positive_event_ratio_40bps,median_net_40bps,p05_net_40bps,p95_net_40bps,positive_event_count_80bps,positive_event_ratio_80bps,median_net_80bps,p05_net_80bps,p95_net_80bps,positive_event_count_120bps,positive_event_ratio_120bps,median_net_120bps,p05_net_120bps,p95_net_120bps
binance/bitget,funding_optimal_trailing_24h,20,target_20bps,1586,1.3361379256472716,190.11525274207298,162,0.1021437578814628,-8.663862074352728,-21.548870197308606,4.625856866387432,41,0.025851197982345524,-18.66386207435273,-31.548870197308606,-5.374143133612568,6,0.0037831021437578815,-38.66386207435273,-51.54887019730861,-25.37414313361257,0,0.0,-78.66386207435272,-91.54887019730862,-65.37414313361256,0,0.0,-118.66386207435272,-131.54887019730862,-105.37414313361256
binance/bitget,funding_optimal_trailing_24h,50,hold_1h,412,-3.4612542500526473,152.09079089264864,72,0.17475728155339806,-13.461254250052647,-45.992874879733805,19.710772087900725,45,0.10922330097087378,-23.461254250052647,-55.992874879733805,9.710772087900725,16,0.038834951456310676,-43.46125425005265,-75.9928748797338,-10.289227912099275,4,0.009708737864077669,-83.46125425005265,-115.9928748797338,-50.28922791209927,2,0.0048543689320388345,-123.46125425005265,-155.99287487973382,-90.28922791209926
binance/bitget,funding_optimal_trailing_24h,50,hold_24h,412,1.8999480701775369,296.2140695740311,156,0.3786407766990291,-8.100051929822463,-47.128512701121736,56.89237335713705,109,0.2645631067961165,-18.100051929822463,-57.128512701121736,46.89237335713705,56,0.13592233009708737,-38.10005192982246,-77.12851270112174,26.89237335713705,8,0.019417475728155338,-78.10005192982246,-117.12851270112174,-13.107626642862948,1,0.0024271844660194173,-118.10005192982246,-157.12851270112174,-53.10762664286295
binance/bitget,funding_optimal_trailing_24h,50,hold_4h,412,-0.896861210368213,285.5791621406735,114,0.2766990291262136,-10.896861210368213,-45.824382305515556,35.173514211436064,69,0.16747572815533981,-20.896861210368215,-55.824382305515556,25.17351421143606,24,0.05825242718446602,-40.896861210368215,-75.82438230551556,5.173514211436061,4,0.009708737864077669,-80.89686121036821,-115.82438230551556,-34.826485788563936,1,0.0024271844660194173,-120.89686121036821,-155.82438230551557,-74.82648578856394
binance/bitget,funding_optimal_trailing_24h,50,hold_72h,412,10.709630688152371,342.7287705039266,209,0.5072815533980582,0.7096306881523713,-66.70939138576608,73.79158000477544,170,0.41262135922330095,-9.290369311847629,-76.70939138576608,63.79158000477544,88,0.21359223300970873,-29.290369311847627,-96.70939138576608,43.79158000477544,27,0.06553398058252427,-69.29036931184763,-136.70939138576608,3.791580004775443,9,0.021844660194174758,-109.29036931184763,-176.70939138576608,-36.20841999522456
binance/bitget,funding_optimal_trailing_24h,50,hold_8h,412,-4.9020178081608865,296.2140695740311,109,0.2645631067961165,-14.902017808160887,-53.84350179076096,45.782544374506294,78,0.18932038834951456,-24.902017808160885,-63.84350179076096,35.782544374506294,45,0.10922330097087378,-44.902017808160885,-83.84350179076097,15.782544374506294,10,0.024271844660194174,-84.90201780816089,-123.84350179076097,-24.217455625493706,7,0.01699029126213592,-124.90201780816089,-163.84350179076097,-64.2174556254937
binance/bitget,funding_optimal_trailing_24h,50,next_krx_open,412,-10.610435173767387,296.2140695740311,103,0.25,-20.610435173767385,-49.71178438098373,48.84090847867603,59,0.14320388349514562,-30.610435173767385,-59.71178438098373,38.84090847867603,47,0.11407766990291263,-50.610435173767385,-79.71178438098373,18.840908478676024,3,0.007281553398058253,-90.61043517376739,-119.71178438098373,-21.159091521323976,0,0.0,-130.61043517376737,-159.71178438098372,-61.15909152132397
binance/bitget,funding_optimal_trailing_24h,50,stop_100bps,70,-93.7081132430736,155.42273676300215,0,0.0,-103.7081132430736,-171.77859588583146,-93.16254431826374,0,0.0,-113.7081132430736,-181.77859588583146,-103.16254431826374,0,0.0,-133.7081132430736,-201.77859588583146,-123.16254431826374,0,0.0,-173.7081132430736,-241.77859588583146,-163.16254431826374,0,0.0,-213.7081132430736,-281.77859588583146,-203.16254431826374
binance/bitget,funding_optimal_trailing_24h,50,stop_50bps,223,-49.89250969374924,121.3572126784357,0,0.0,-59.89250969374924,-78.94976332831264,-37.60799429274446,0,0.0,-69.89250969374925,-88.94976332831264,-47.60799429274446,0,0.0,-89.89250969374925,-108.94976332831264,-67.60799429274445,0,0.0,-129.89250969374925,-148.94976332831266,-107.60799429274445,0,0.0,-169.89250969374925,-188.94976332831266,-147.60799429274448
binance/bitget,funding_optimal_trailing_24h,50,target_0bps,37,28.320773074849495,103.85354584164486,35,0.9459459459459459,18.320773074849495,-7.743706169165652,64.10693168661516,31,0.8378378378378378,8.320773074849495,-17.74370616916565,54.10693168661515,10,0.2702702702702703,-11.679226925150505,-37.74370616916565,34.10693168661515,1,0.02702702702702703,-51.6792269251505,-77.74370616916566,-5.893068313384852,0,0.0,-91.6792269251505,-117.74370616916566,-45.89306831338485
binance/bitget,funding_optimal_trailing_24h,50,target_10bps,302,-28.410417641704722,153.88429763531144,78,0.2582781456953642,-38.410417641704726,-62.35856253514257,50.65880513640986,78,0.2582781456953642,-48.410417641704726,-72.35856253514257,40.65880513640986,60,0.1986754966887417,-68.41041764170473,-92.35856253514257,20.65880513640986,1,0.0033112582781456954,-108.41041764170473,-132.35856253514257,-19.34119486359014,0,0.0,-148.41041764170473,-172.35856253514257,-59.34119486359014
binance/bitget,funding_optimal_trailing_24h,50,target_20bps,412,-31.28218313941019,296.2140695740311,93,0.22572815533980584,-41.28218313941019,-54.71576580577673,38.171843969757184,80,0.1941747572815534,-51.28218313941019,-64.71576580577673,28.171843969757187,36,0.08737864077669903,-71.2821831394102,-84.71576580577673,8.171843969757186,2,0.0048543689320388345,-111.2821831394102,-124.71576580577673,-31.828156030242813,0,0.0,-151.2821831394102,-164.71576580577673,-71.82815603024282
binance/bitget,funding_optimal_trailing_24h,100,hold_1h,27,4.8727657172248655,208.4179985991177,9,0.3333333333333333,-5.1272342827751345,-107.26486274851175,155.82232702117398,8,0.2962962962962963,-15.127234282775134,-117.26486274851175,145.82232702117398,5,0.18518518518518517,-35.127234282775134,-137.26486274851175,125.82232702117396,2,0.07407407407407407,-75.12723428277513,-177.26486274851175,85.82232702117396,2,0.07407407407407407,-115.12723428277513,-217.26486274851175,45.82232702117396
binance/bitget,funding_optimal_trailing_24h,100,hold_24h,27,0.7844405056279129,315.94698201166096,12,0.4444444444444444,-9.215559494372087,-163.75771031374595,118.39316056774852,12,0.4444444444444444,-19.215559494372087,-173.75771031374595,108.39316056774852,11,0.4074074074074074,-39.21555949437209,-193.75771031374595,88.39316056774852,2,0.07407407407407407,-79.21555949437209,-233.75771031374595,48.393160567748524,2,0.07407407407407407,-119.21555949437209,-273.757710313746,8.39316056774852
binance/bitget,funding_optimal_trailing_24h,100,hold_4h,27,0.9238645566953352,315.94698201166096,11,0.4074074074074074,-9.076135443304665,-84.73877253808918,107.64021553114554,6,0.2222222222222222,-19.076135443304665,-94.73877253808918,97.64021553114554,4,0.14814814814814814,-39.076135443304665,-114.73877253808918,77.64021553114554,2,0.07407407407407407,-79.07613544330466,-154.7387725380892,37.64021553114554,2,0.07407407407407407,-119.07613544330466,-194.7387725380892,-2.3597844688544534
