timestamp,gate_trade,gate_mark,gate_index,comparison_exchange,comparison_price,spread_bps,gate_volume,gate_raw_source_file,comparison_raw_source_file,warning_flags
2026-07-20 00:04:00+00:00,1216.7,1217.2,1210.77,binance,1212.59,37.94566608637065,513022.0,data/raw/gate/b1f66210cdc9a0a8f66f14bd97387372830dc8bb7b6620a1c24ff00c4edb951b.json,data/raw/binance/47c17b6fc4896a9b9ce8023532638b1082d23ffa7eeba7ee9e669786956b9338.json,
2026-07-20 00:05:00+00:00,1226.6,1227.0,1221.61,binance,1223.97,24.72490483359627,398485.0,data/raw/gate/b1f66210cdc9a0a8f66f14bd97387372830dc8bb7b6620a1c24ff00c4edb951b.json,data/raw/binance/47c17b6fc4896a9b9ce8023532638b1082d23ffa7eeba7ee9e669786956b9338.json,
2026-07-20 00:06:00+00:00,1230.9,1231.0,1227.66,binance,1228.17981236,22.9360018801849,292646.0,data/raw/gate/b1f66210cdc9a0a8f66f14bd97387372830dc8bb7b6620a1c24ff00c4edb951b.json,data/raw/binance/47c17b6fc4896a9b9ce8023532638b1082d23ffa7eeba7ee9e669786956b9338.json,
2026-07-20 00:07:00+00:00,1234.7,1234.8,1233.45,binance,1232.1,21.88982123312697,346997.0,data/raw/gate/b1f66210cdc9a0a8f66f14bd97387372830dc8bb7b6620a1c24ff00c4edb951b.json,data/raw/binance/47c17b6fc4896a9b9ce8023532638b1082d23ffa7eeba7ee9e669786956b9338.json,
2026-07-20 00:08:00+00:00,1246.4,1246.2,1241.81,binance,1244.38,14.615069582185164,410782.0,data/raw/gate/b1f66210cdc9a0a8f66f14bd97387372830dc8bb7b6620a1c24ff00c4edb951b.json,data/raw/binance/47c17b6fc4896a9b9ce8023532638b1082d23ffa7eeba7ee9e669786956b9338.json,
2026-07-20 00:09:00+00:00,1243.3,1244.4,1243.13,binance,1242.67,13.91195261894533,463547.0,data/raw/gate/b1f66210cdc9a0a8f66f14bd97387372830dc8bb7b6620a1c24ff00c4edb951b.json,data/raw/binance/47c17b6fc4896a9b9ce8023532638b1082d23ffa7eeba7ee9e669786956b9338.json,
2026-07-20 00:10:00+00:00,1242.2,1243.2,1241.24,binance,1241.08,17.067319303783137,479016.0,data/raw/gate/b1f66210cdc9a0a8f66f14bd97387372830dc8bb7b6620a1c24ff00c4edb951b.json,data/raw/binance/47c17b6fc4896a9b9ce8023532638b1082d23ffa7eeba7ee9e669786956b9338.json,
2026-07-15 23:50:00+00:00,,,,bitget,,,,,,MISSING_GATE_TRADE
2026-07-15 23:51:00+00:00,,,,bitget,,,,,,MISSING_GATE_TRADE
2026-07-15 23:52:00+00:00,,,,bitget,,,,,,MISSING_GATE_TRADE
2026-07-15 23:53:00+00:00,,,,bitget,,,,,,MISSING_GATE_TRADE
2026-07-15 23:54:00+00:00,,,,bitget,,,,,,MISSING_GATE_TRADE
2026-07-15 23:55:00+00:00,,,,bitget,,,,,,MISSING_GATE_TRADE
2026-07-15 23:56:00+00:00,,,,bitget,,,,,,MISSING_GATE_TRADE
2026-07-15 23:57:00+00:00,,,,bitget,,,,,,MISSING_GATE_TRADE
2026-07-15 23:58:00+00:00,,,,bitget,,,,,,MISSING_GATE_TRADE
2026-07-15 23:59:00+00:00,,,,bitget,,,,,,MISSING_GATE_TRADE
2026-07-16 00:00:00+00:00,,,,bitget,,,,,,MISSING_GATE_TRADE
2026-07-16 00:01:00+00:00,,,,bitget,,,,,,MISSING_GATE_TRADE
2026-07-16 00:02:00+00:00,,,,bitget,,,,,,MISSING_GATE_TRADE
2026-07-16 00:03:00+00:00,,,,bitget,,,,,,MISSING_GATE_TRADE
2026-07-16 00:04:00+00:00,,,,bitget,,,,,,MISSING_GATE_TRADE
2026-07-16 00:05:00+00:00,,,,bitget,,,,,,MISSING_GATE_TRADE
2026-07-16 00:06:00+00:00,,,,bitget,,,,,,MISSING_GATE_TRADE
2026-07-16 00:07:00+00:00,,,,bitget,,,,,,MISSING_GATE_TRADE
2026-07-16 00:08:00+00:00,,,,bitget,,,,,,MISSING_GATE_TRADE
2026-07-16 00:09:00+00:00,,,,bitget,,,,,,MISSING_GATE_TRADE
2026-07-16 00:10:00+00:00,,,,bitget,,,,,,MISSING_GATE_TRADE
2026-07-16 19:31:00+00:00,1208.1,1207.9,1207.13,bitget,1187.16,173.18981570399075,8798.0,data/raw/gate/b688ac94bc8c2adc7c345f2ef5ed42f83fe0aea8623375a495f0d76ad21010da.json,data/raw/bitget/ce14f1b1ac4e01e23fc1f60b27422a8097e15990d637e73b58f63e83328ee72f.json,
2026-07-16 19:32:00+00:00,1208.9,1208.9,1208.11,bitget,1187.95,174.8127751006533,72162.0,data/raw/gate/b688ac94bc8c2adc7c345f2ef5ed42f83fe0aea8623375a495f0d76ad21010da.json,data/raw/bitget/ce14f1b1ac4e01e23fc1f60b27422a8097e15990d637e73b58f63e83328ee72f.json,
2026-07-16 19:33:00+00:00,1208.2,1208.1,1207.31,bitget,1186.66,179.0576091132291,42077.0,data/raw/gate/b688ac94bc8c2adc7c345f2ef5ed42f83fe0aea8623375a495f0d76ad21010da.json,data/raw/bitget/ce14f1b1ac4e01e23fc1f60b27422a8097e15990d637e73b58f63e83328ee72f.json,
2026-07-16 19:34:00+00:00,1209.4,1209.4,1209.12,bitget,1188.16,177.1801331353543,22784.0,data/raw/gate/b688ac94bc8c2adc7c345f2ef5ed42f83fe0aea8623375a495f0d76ad21010da.json,data/raw/bitget/ce14f1b1ac4e01e23fc1f60b27422a8097e15990d637e73b58f63e83328ee72f.json,
2026-07-16 19:35:00+00:00,1209.7,1209.8,1209.18,bitget,1187.97,182.085854773393,16360.0,data/raw/gate/b688ac94bc8c2adc7c345f2ef5ed42f83fe0aea8623375a495f0d76ad21010da.json,data/raw/bitget/ce14f1b1ac4e01e23fc1f60b27422a8097e15990d637e73b58f63e83328ee72f.json,
2026-07-16 19:36:00+00:00,1209.6,1209.6,1208.9,bitget,1187.85,181.4427829568917,12124.0,data/raw/gate/b688ac94bc8c2adc7c345f2ef5ed42f83fe0aea8623375a495f0d76ad21010da.json,data/raw/bitget/ce14f1b1ac4e01e23fc1f60b27422a8097e15990d637e73b58f63e83328ee72f.json,
2026-07-16 19:37:00+00:00,1211.3,1211.1,1210.31,bitget,1189.81,177.34942167761363,7434.0,data/raw/gate/b688ac94bc8c2adc7c345f2ef5ed42f83fe0aea8623375a495f0d76ad21010da.json,data/raw/bitget/ce14f1b1ac4e01e23fc1f60b27422a8097e15990d637e73b58f63e83328ee72f.json,
2026-07-16 19:38:00+00:00,1214.6,1214.6,1213.7,bitget,1192.97,179.68324908517621,61873.0,data/raw/gate/b688ac94bc8c2adc7c345f2ef5ed42f83fe0aea8623375a495f0d76ad21010da.json,data/raw/bitget/ce14f1b1ac4e01e23fc1f60b27422a8097e15990d637e73b58f63e83328ee72f.json,
2026-07-16 19:39:00+00:00,1213.9,1213.7,1212.92,bitget,1192.62,175.20529272914789,25014.0,data/raw/gate/b688ac94bc8c2adc7c345f2ef5ed42f83fe0aea8623375a495f0d76ad21010da.json,data/raw/bitget/ce14f1b1ac4e01e23fc1f60b27422a8097e15990d637e73b58f63e83328ee72f.json,
2026-07-16 19:40:00+00:00,1213.3,1213.2,1212.61,bitget,1191.75,178.38208694567496,42669.0,data/raw/gate/b688ac94bc8c2adc7c345f2ef5ed42f83fe0aea8623375a495f0d76ad21010da.json,data/raw/bitget/ce14f1b1ac4e01e23fc1f60b27422a8097e15990d637e73b58f63e83328ee72f.json,
2026-07-16 19:41:00+00:00,1214.6,1215.0,1214.12,bitget,1193.29,180.29390148196467,21023.0,data/raw/gate/b688ac94bc8c2adc7c345f2ef5ed42f83fe0aea8623375a495f0d76ad21010da.json,data/raw/bitget/ce14f1b1ac4e01e23fc1f60b27422a8097e15990d637e73b58f63e83328ee72f.json,
2026-07-16 19:42:00+00:00,1213.9,1213.9,1213.31,bitget,1192.62,176.8528830011818,18021.0,data/raw/gate/b688ac94bc8c2adc7c345f2ef5ed42f83fe0aea8623375a495f0d76ad21010da.json,data/raw/bitget/ce14f1b1ac4e01e23fc1f60b27422a8097e15990d637e73b58f63e83328ee72f.json,
2026-07-16 19:43:00+00:00,1211.6,1211.2,1210.41,bitget,1190.25,174.47791959024795,7494.0,data/raw/gate/b688ac94bc8c2adc7c345f2ef5ed42f83fe0aea8623375a495f0d76ad21010da.json,data/raw/bitget/ce14f1b1ac4e01e23fc1f60b27422a8097e15990d637e73b58f63e83328ee72f.json,
