pair,session,count,mean_abs_spread_bps,median_abs_spread_bps,p95_abs_spread_bps,p99_abs_spread_bps,max_abs_spread_bps,event_count,median_duration_minutes,p95_duration_minutes,convergence_probability_1h,convergence_probability_4h,convergence_probability_24h,combined_strategy_pnl
binance/okx,PRE_CLOSE_BASELINE,1280,13.352306049478369,8.774431483109206,50.11150557303622,66.16281868717435,89.47758648196226,32.0,1.0,1496.2,0.875,0.875,0.875,-184.24269093313717
binance/okx,US_AFTER_HOURS,6000,20.19462121262995,15.428375105666245,59.52256034086034,112.90051215062152,184.52410976383717,182.0,1.0,51.89999999999998,0.9560439560439561,0.9725274725274725,1.0,2546.2172745149674
binance/okx,US_REGULAR,10290,21.845813421569552,16.252853398475043,61.094219680128674,92.11475056854776,331.89687645852933,355.0,2.0,325.4000000000001,0.8732394366197183,0.9154929577464789,1.0,6669.014742614477
bitget/gate,KRX_CLOSE_TRANSITION,50,24.07741209477948,5.3912759200804325,99.19212607198534,103.06639266053222,103.1214090126568,1.0,775.0,775.0,0.0,0.0,1.0,99.04013390430836
bitget/gate,KRX_FULLY_CLOSED_PRE_US,3370,25.269513699602413,9.955602284030984,103.43439761914105,126.21793871094243,160.55312712948904,58.0,1.0,1115.2,0.6206896551724138,0.6206896551724138,1.0,3228.5190100582868
bitget/gate,KRX_HOLIDAY_OR_WEEKEND,2880,15.24282589752855,9.612167123436237,60.57220961230118,77.66822582343504,97.46037553844386,52.0,2.0,223.49999999999994,0.8846153846153846,0.9807692307692307,1.0,479.37097565288616
bitget/gate,KRX_OFFICIAL_AFTER_HOURS,665,24.05932038240236,7.793465297430983,96.04569395317911,101.5696564857365,109.5836081545382,7.0,728.0,754.8,0.14285714285714285,0.14285714285714285,1.0,579.6527230622023
bitget/gate,PRE_CLOSE_BASELINE,200,24.837538543643237,7.689258792059124,101.22916620832109,107.74954933192645,108.27532869296273,6.0,394.5,797.5,0.5,0.5,1.0,340.075793257477
bitget/gate,US_AFTER_HOURS,960,51.809214208306166,15.537418685868149,177.64751717665047,182.21304043375454,189.13239267487296,22.0,2.0,14.499999999999993,1.0,1.0,1.0,82.29654451392797
bitget/gate,US_REGULAR,1346,27.195873242201294,14.825311829165244,170.058122534795,179.01238541338688,184.55399451326,53.0,2.0,1493.0,0.8490566037735849,0.8490566037735849,0.9245283018867925,1181.0317503358278
bitget/hyperliquid,KRX_CLOSE_TRANSITION,40,34.42743684097517,32.33785480714719,47.28784642655932,48.60775879000827,49.00442166333334,,,,,,,
bitget/hyperliquid,KRX_FULLY_CLOSED_PRE_US,2685,35.74633326805515,32.249395323838904,61.885708837514,69.65090915452848,98.95500467687302,53.0,5.0,839.5999999999999,0.6981132075471698,0.7169811320754716,1.0,923.0369069835872
bitget/hyperliquid,KRX_OFFICIAL_AFTER_HOURS,525,38.569924542713046,38.57993022778427,52.765802292547455,55.711677830684394,58.81168177240831,6.0,958.0,1044.5,0.0,0.0,1.0,123.92071095802743
bitget/hyperliquid,PRE_CLOSE_BASELINE,160,30.076553442844705,30.778559802540123,44.359038583092506,45.68012707380108,47.303041658103695,6.0,2.0,3.0,1.0,1.0,1.0,40.15178919883533
bitget/hyperliquid,US_AFTER_HOURS,720,38.81636967005182,41.424500004755245,54.616196021917496,58.59697354665989,66.47617936905905,23.0,64.0,264.79999999999995,0.4782608695652174,0.8695652173913043,1.0,694.0088533957876
bitget/hyperliquid,US_REGULAR,1170,36.26619448776517,39.17998450709436,53.37577077625746,55.805431291067706,81.14275390494537,29.0,338.0,568.4,0.41379310344827586,0.41379310344827586,1.0,717.8153828618413
bitget/okx,KRX_CLOSE_TRANSITION,320,28.591262011652894,22.63702990301413,81.05177761792514,87.22880187532631,101.73440518657297,14.0,1.0,136.1499999999999,0.9285714285714286,0.9285714285714286,1.0,254.90361514631815
bitget/okx,KRX_FULLY_CLOSED_PRE_US,22460,37.812285136296794,31.88755313779509,90.02364193546359,146.76228130596255,291.3502492644481,718.0,6.0,1235.6,0.616991643454039,0.7618384401114207,0.9777158774373259,17115.329191983757
bitget/okx,KRX_HOLIDAY_OR_WEEKEND,17280,34.36386539015508,34.293505068981446,53.492342026234496,61.627399026145135,83.20952660680302,429.0,344.0,2150.0,0.44988344988344986,0.4801864801864802,0.8391608391608392,2112.7787100327873
bitget/okx,KRX_OFFICIAL_AFTER_HOURS,4365,33.47852211691129,27.59345640890904,87.5951749347843,118.19344074654802,149.29472782795574,177.0,5.0,1467.1999999999998,0.672316384180791,0.711864406779661,0.9322033898305084,3532.9218927912684
bitget/okx,PRE_CLOSE_BASELINE,1280,29.327918889716763,24.12115391741819,75.70727986701286,96.06120046257251,115.60333411233093,43.0,4.0,1103.4,0.6976744186046512,0.7906976744186046,0.9534883720930233,1349.0554985963754
bitget/okx,US_AFTER_HOURS,6000,42.928564262211324,35.5480986076995,101.60014728043419,140.8058170017414,182.05090542837405,212.0,25.0,637.25,0.589622641509434,0.8349056603773585,0.9669811320754716,5537.785095867119
bitget/okx,US_REGULAR,10290,44.92238989094855,37.42136292481185,93.28541800951709,125.11304146402863,145.21733300203968,309.0,60.0,1033.6,0.5080906148867314,0.656957928802589,0.9741100323624595,8591.16423607301
gate/hyperliquid,KRX_CLOSE_TRANSITION,40,29.76838475172865,29.61899603830878,40.22340977886517,44.822764199278424,47.73669444328164,,,,,,,
gate/hyperliquid,KRX_FULLY_CLOSED_PRE_US,2685,33.28265205069519,27.921491336126227,71.60010128163063,85.26163120090122,100.24007075769585,79.0,3.0,445.89999999999986,0.8481012658227848,0.9367088607594937,1.0,1063.168661373908
gate/hyperliquid,KRX_OFFICIAL_AFTER_HOURS,526,33.20201302718843,32.89932998340646,45.887254267121435,48.322802153769636,51.57962604771189,3.0,10.0,249.39999999999998,0.6666666666666666,0.6666666666666666,1.0,40.93893276079253
gate/hyperliquid,PRE_CLOSE_BASELINE,160,27.136416454031426,26.545332463085696,37.148230228675594,47.660367473123436,50.36091992613731,3.0,137.0,155.9,0.3333333333333333,1.0,1.0,46.56278015607552
gate/hyperliquid,US_AFTER_HOURS,720,27.95255461660955,28.020439198697677,39.792317349613434,44.0899385469858,53.904144369361276,11.0,24.0,123.0,0.6363636363636364,1.0,1.0,157.47564121870104
gate/hyperliquid,US_REGULAR,1170,22.9879228312752,24.19220153801036,36.55490745004224,40.168155671956185,45.694477270936375,40.0,2.0,38.59999999999991,0.95,1.0,1.0,237.55251035141723
gate/okx,KRX_CLOSE_TRANSITION,50,36.49491355770453,15.003981439242281,136.05750996672936,137.44750764737992,137.92631380803164,,,,,,,
gate/okx,KRX_FULLY_CLOSED_PRE_US,3370,41.967645757093415,20.475467015107988,155.56951370604722,171.12558895045495,195.27975136975428,85.0,2.0,2329.4,0.8470588235294118,0.8941176470588236,0.8941176470588236,2375.630494294679
gate/okx,KRX_HOLIDAY_OR_WEEKEND,2880,40.1848296121907,34.31205147431916,99.66666015934804,114.90453066069146,129.01291378455932,51.0,848.0,1603.0,0.39215686274509803,0.43137254901960786,0.803921568627451,2384.811324572278
gate/okx,KRX_OFFICIAL_AFTER_HOURS,585,41.39274775048319,18.177869650196588,129.17670718637976,136.0877969909929,144.49381820380293,13.0,1.0,3.1999999999999957,1.0,1.0,1.0,46.16524593949515
gate/okx,PRE_CLOSE_BASELINE,200,36.8527976391639,15.632842661007219,134.47056039083668,138.4649461852685,139.77540731765447,8.0,1.5,8.599999999999998,1.0,1.0,1.0,43.89677600724602
gate/okx,US_AFTER_HOURS,960,61.42991082285722,19.530227649707243,202.5601748593932,204.92836309056557,207.2473989741957,44.0,17.5,2743.25,0.5454545454545454,0.5454545454545454,0.5454545454545454,4778.119107379727
gate/okx,US_REGULAR,1346,31.703065948404756,15.047071132729581,197.08644108281396,202.8200365854066,207.6481374452712,67.0,3.0,2862.6,0.746268656716418,0.746268656716418,0.746268656716418,3696.3039382883385
hyperliquid/okx,KRX_CLOSE_TRANSITION,40,17.63982797569807,17.40287678664935,32.325516386479876,33.5568450836372,33.899255899312145,1.0,2.0,2.0,1.0,1.0,1.0,1.4565848486515378
hyperliquid/okx,KRX_FULLY_CLOSED_PRE_US,2685,14.446365515249079,12.003013522544656,32.242455927300654,41.01772007351841,53.25349399364387,52.0,2.0,33.34999999999999,1.0,1.0,1.0,457.916056891135
hyperliquid/okx,KRX_OFFICIAL_AFTER_HOURS,445,17.822991956462392,18.191507691321224,29.903824229946398,32.13379042675265,35.90548904159677,14.0,2.5,27.64999999999999,1.0,1.0,1.0,66.58326769324528
hyperliquid/okx,PRE_CLOSE_BASELINE,160,14.65131391427936,14.026276368192935,30.43705625299712,34.2185607084567,39.295881951963516,1.0,9.0,9.0,1.0,1.0,1.0,1.8839170066695452
hyperliquid/okx,US_AFTER_HOURS,720,12.38074002796405,11.417578189568609,25.356391755343292,28.376336879445702,38.229305760477864,22.0,1.0,2.0,1.0,1.0,1.0,83.28764966945646
hyperliquid/okx,US_REGULAR,1170,9.78887397431514,8.509350420633417,22.75601623732985,25.994005469895765,30.945734724973235,19.0,2.0,10.399999999999991,1.0,1.0,1.0,76.75941318163206
