group_type,group_value,population,threshold_bps,event_count_total,event_count_completed,event_count_right_censored,event_count_data_gap_censored,censoring_ratio,min_minutes,p25_minutes,median_minutes,p75_minutes,p90_minutes,p95_minutes,p99_minutes,max_observed_minutes,count_le_5m,ratio_le_5m,count_le_15m,ratio_le_15m,count_le_30m,ratio_le_30m,count_le_60m,ratio_le_60m,count_le_240m,ratio_le_240m,count_gt_240m,ratio_gt_240m,count_gt_1440m,ratio_gt_1440m
PAIR,gate/hyperliquid,ALL_OBSERVED,20,262,261,1,0,0.003816793893129771,1.0,1.0,3.0,7.75,31.700000000000017,75.64999999999992,207.35999999999967,492.0,177,0.6755725190839694,222,0.8473282442748091,235,0.8969465648854962,247,0.9427480916030534,260,0.9923664122137404,2,0.007633587786259542,0,0.0
PAIR,gate/okx,ALL_OBSERVED,20,334,334,0,0,0.0,1.0,1.0,2.0,4.0,15.699999999999989,31.049999999999898,185.61000000000132,2865.0,270,0.8083832335329342,300,0.8982035928143712,317,0.9491017964071856,324,0.9700598802395209,332,0.9940119760479041,2,0.005988023952095809,1,0.0029940119760479044
PAIR,hyperliquid/okx,ALL_OBSERVED,20,213,213,0,0,0.0,1.0,1.0,2.0,4.0,12.800000000000011,17.399999999999977,41.879999999999995,373.0,170,0.7981220657276995,200,0.9389671361502347,207,0.971830985915493,212,0.9953051643192489,212,0.9953051643192489,1,0.004694835680751174,0,0.0
START_SESSION,BOTH_PRIMARY_MARKETS_CLOSED,ALL_OBSERVED,20,386,386,0,0,0.0,1.0,1.0,2.0,5.0,14.5,32.0,379.89999999999895,492.0,297,0.7694300518134715,352,0.9119170984455959,365,0.9455958549222798,373,0.966321243523316,379,0.9818652849740933,7,0.018134715025906734,0,0.0
START_SESSION,KRX_CLOSE_TRANSITION,ALL_OBSERVED,20,63,63,0,0,0.0,1.0,1.0,2.0,4.0,20.000000000000043,86.9,753.3600000000013,1077.0,51,0.8095238095238095,56,0.8888888888888888,58,0.9206349206349206,58,0.9206349206349206,60,0.9523809523809523,3,0.047619047619047616,0,0.0
START_SESSION,KRX_HOLIDAY_OR_WEEKEND,ALL_OBSERVED,20,1775,1775,0,0,0.0,1.0,1.0,2.0,5.0,13.0,25.0,115.55999999999995,2360.0,1391,0.783661971830986,1619,0.9121126760563381,1708,0.9622535211267605,1742,0.9814084507042253,1763,0.9932394366197184,12,0.0067605633802816905,3,0.0016901408450704226
START_SESSION,KRX_OFFICIAL_AFTER_HOURS,ALL_OBSERVED,20,566,565,1,0,0.0017667844522968198,1.0,1.0,2.0,5.0,21.5,64.0,934.7000000000019,1435.0,432,0.7632508833922261,502,0.8869257950530035,515,0.9098939929328622,535,0.9452296819787986,551,0.9734982332155477,15,0.026501766784452298,0,0.0
START_SESSION,KRX_REGULAR_EARLIER,ALL_OBSERVED,20,2023,2022,1,0,0.0004943153732081067,1.0,1.0,2.0,4.0,11.0,23.0,156.4599999999998,2694.0,1643,0.8121601581809195,1890,0.9342560553633218,1942,0.9599604547701434,1982,0.9797330696984676,2009,0.9930795847750865,14,0.006920415224913495,3,0.0014829461196243204
START_SESSION,PRE_CLOSE_BASELINE,ALL_OBSERVED,20,240,240,0,0,0.0,1.0,1.0,2.0,4.25,11.199999999999989,36.14999999999995,254.98999999999765,487.0,190,0.7916666666666666,220,0.9166666666666666,225,0.9375,232,0.9666666666666667,237,0.9875,3,0.0125,0,0.0
START_SESSION,US_AFTER_HOURS,ALL_OBSERVED,20,925,925,0,0,0.0,1.0,1.0,2.0,4.0,15.0,26.799999999999955,82.03999999999996,246.0,737,0.7967567567567567,836,0.9037837837837838,886,0.9578378378378378,914,0.9881081081081081,924,0.9989189189189189,1,0.001081081081081081,0,0.0
