pair,exchange_A,exchange_B,session,coverage_percent,comparison_quality,count,mean_bps,median_bps,std_bps,min_bps,max_bps,p01_bps,p05_bps,p25_bps,p75_bps,p95_bps,p99_bps,mean_abs_bps,p95_abs_bps,p99_abs_bps,max_abs_bps,percent_A_higher,percent_B_higher
gate/hyperliquid,gate,hyperliquid,AFTER_CLOSE_ALL,70.87378640776699,historical_proxy_spread_bps,3796,32.47954724994482,29.124844378435277,16.428629220234612,-5.004587538578167,100.24007075769585,2.5004688585288104,11.610789875785635,22.848590008453044,37.6301042641953,68.8569330185102,83.30861089063033,32.49181931097438,68.8569330185102,83.30861089063033,100.24007075769585,99.60484720758693,0.2897787144362487
gate/hyperliquid,gate,hyperliquid,KRX_OFFICIAL_AFTER_HOURS,10.455563853622106,historical_proxy_spread_bps,560,32.798525461435446,32.12359941980455,7.763619604535877,16.036042915504634,51.57962604771189,18.349368052650068,21.4702962890273,26.338189262110294,38.98208764287312,45.87045241192317,48.30957528685961,32.798525461435446,45.87045241192317,48.30957528685961,51.57962604771189,100.0,0.0
gate/hyperliquid,gate,hyperliquid,KRX_FULLY_CLOSED,59.67139656460045,historical_proxy_spread_bps,3196,32.45758814528084,28.488584766082937,17.586488219861405,-5.004587538578167,100.24007075769585,2.4676858455775528,10.710388119422934,21.931266747421063,37.114641792111435,70.49937054133521,84.48901360470694,32.47216409761757,70.49937054133521,84.48901360470694,100.24007075769585,99.53066332916146,0.344180225281602
gate/okx,gate,okx,ALL,100.0,mark_spread_bps,9391,41.63414700202331,24.083086648937847,47.0445738472434,-17.023611183946976,207.6481374452712,-1.9168423741654064,5.122989690713473,14.884810427918879,41.59723037335094,157.52684167436604,201.1456462687057,41.76534759671605,157.52684167436604,201.1456462687057,207.6481374452712,98.41337450750719,1.5653285060163988
gate/okx,gate,okx,PRE_CLOSE_BASELINE,2.1296986476413586,mark_spread_bps,200,36.21209135315159,15.632842661007219,48.025339063145616,-12.81128658531677,139.77540731765447,-9.622454056251442,-0.47953874383876693,10.010937790753191,24.031891146873143,134.47056039083668,138.4649461852685,36.8527976391639,134.47056039083668,138.4649461852685,139.77540731765447,94.0,6.0
gate/okx,gate,okx,AFTER_CLOSE_ALL,48.567777659461186,mark_spread_bps,4561,42.540956907036836,19.199806490139036,54.13523312531815,-15.251354046497434,207.6481374452712,0.5003460726998292,5.653502267209441,13.180065742484187,37.50334851325888,197.0341693734455,203.27100104734066,42.58815065988835,197.0341693734455,203.27100104734066,207.6481374452712,99.1887743915808,0.7673755755316817
gate/okx,gate,okx,KRX_OFFICIAL_AFTER_HOURS,6.229368544350974,mark_spread_bps,585,41.37667743820908,18.177869650196588,46.29535461672832,-3.1849669559667455,144.49381820380293,0.7714008096381699,4.6166285605091195,13.80919501916628,26.625379244724414,129.17670718637976,136.0877969909929,41.39274775048319,129.17670718637976,136.0877969909929,144.49381820380293,99.48717948717949,0.5128205128205128
gate/okx,gate,okx,KRX_FULLY_CLOSED,41.80598445319987,mark_spread_bps,3926,42.79311459198626,19.40457784921316,55.26998177772369,-15.251354046497434,207.6481374452712,0.5211336110321809,5.880946526079328,13.049317259385134,37.8079846440488,198.2923175210269,203.50833359279238,42.843874693793396,198.2923175210269,203.50833359279238,207.6481374452712,99.18492103922567,0.7641365257259297
gate/okx,gate,okx,KRX_HOLIDAY_OR_WEEKEND,30.667660526035565,mark_spread_bps,2880,40.18277151988938,34.31205147431916,21.89747188346988,-2.9636529139070382,129.01291378455932,16.990574604704815,20.582427206139847,25.867118970511022,44.97548476953554,99.66666015934804,114.90453066069146,40.1848296121907,99.66666015934804,114.90453066069146,129.01291378455932,99.96527777777777,0.034722222222222224
hyperliquid/okx,hyperliquid,okx,ALL,100.0,historical_proxy_spread_bps,5220,-12.685949629451613,-11.747773072013782,10.435894912729252,-53.25349399364387,20.370940616338814,-38.22988208365859,-30.275771350888803,-20.08117570872446,-4.959968443302615,2.6692363934994163,8.503007112725259,13.436138226909002,30.275771350888807,38.22988208365859,53.25349399364387,9.961685823754788,89.92337164750957
hyperliquid/okx,hyperliquid,okx,PRE_CLOSE_BASELINE,3.0651340996168583,historical_proxy_spread_bps,160,-14.542733840178656,-14.026276368192935,9.620521213653387,-39.295881951963516,3.258118476311925,-34.2185607084567,-30.437056252997124,-21.0568369190001,-7.013691104886469,-1.1376737541973714,1.835391080985617,14.65131391427936,30.43705625299712,34.2185607084567,39.295881951963516,3.125,96.875
hyperliquid/okx,hyperliquid,okx,AFTER_CLOSE_ALL,70.11494252873563,historical_proxy_spread_bps,3660,-14.0747365035625,-13.528995527000701,9.956220652962255,-52.01472624717005,12.601564076484083,-36.13788994936411,-30.383909463210923,-21.275559197687823,-6.2483631977166825,0.8983086260864671,5.627835170409594,14.464016664390583,30.383909463210923,36.1378899493641,52.01472624717005,6.639344262295081,93.25136612021858
hyperliquid/okx,hyperliquid,okx,KRX_OFFICIAL_AFTER_HOURS,8.524904214559387,historical_proxy_spread_bps,445,-17.822634207524246,-18.191507691321224,7.79805758691221,-35.90548904159677,0.07959913873724646,-32.13379042675264,-29.9038242299464,-23.53145555476605,-11.939567420287663,-4.475385557498605,-1.936262613356579,17.822991956462392,29.903824229946398,32.13379042675265,35.90548904159677,0.22471910112359553,99.7752808988764
hyperliquid/okx,hyperliquid,okx,KRX_FULLY_CLOSED,60.82375478927203,historical_proxy_spread_bps,3175,-13.504526066665361,-12.739525391822879,10.112419199883984,-52.01472624717005,12.601564076484083,-37.19744662172831,-30.468964795687697,-20.840457078309825,-5.534878492195849,1.3394543746194445,6.003575318585385,13.953220929768767,30.468964795687697,37.19744662172813,52.01472624717005,7.622047244094487,92.25196850393701
