pair,long_exchange,short_exchange,funding_time,long_rate,short_rate,net_rate,net_cashflow_10000,cumulative_cashflow,long_interval_hours,short_interval_hours,session,regime,date,week
long bitget / short okx,bitget,okx,2026-06-25 00:00:00+00:00,0.000707,0.0050871457699901,0.0043801457699901,43.80145769990099,458.21203834850405,8.0,8.0,KRX_REGULAR_EARLIER,PRE_GATE_REGIME,2026-06-25 00:00:00+00:00,2026-06-22/2026-06-28
long bitget / short binance,bitget,binance,2026-07-09 08:00:00+00:00,0.00409,0.0,-0.00409,-40.9,27.350900000000003,8.0,,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-07-09 00:00:00+00:00,2026-07-06/2026-07-12
long binance / short bitget,binance,bitget,2026-07-09 08:00:00+00:00,0.0,0.00409,0.00409,40.9,-27.350900000000003,,8.0,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-07-09 00:00:00+00:00,2026-07-06/2026-07-12
long bitget / short binance,bitget,binance,2026-06-22 08:00:00.001000+00:00,0.0,0.00402973,0.00402973,40.29729999999999,157.43429999999998,,8.0,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-06-22 00:00:00+00:00,2026-06-22/2026-06-28
long binance / short bitget,binance,bitget,2026-06-22 08:00:00.001000+00:00,0.00402973,0.0,-0.00402973,-40.29729999999999,-157.43429999999998,8.0,,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-06-22 00:00:00+00:00,2026-06-22/2026-06-28
long binance / short okx,binance,okx,2026-06-22 08:00:00.001000+00:00,0.00402973,0.0,-0.00402973,-40.29729999999999,233.290165848038,8.0,,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-06-22 00:00:00+00:00,2026-06-22/2026-06-28
long okx / short binance,okx,binance,2026-06-22 08:00:00.001000+00:00,0.0,0.00402973,0.00402973,40.29729999999999,-233.290165848038,,8.0,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-06-22 00:00:00+00:00,2026-06-22/2026-06-28
long bitget / short okx,bitget,okx,2026-06-15 00:00:00+00:00,0.0,0.0039529757881667,0.0039529757881667,39.529757881667,152.10718010210098,8.0,8.0,KRX_REGULAR_EARLIER,PRE_GATE_REGIME,2026-06-15 00:00:00+00:00,2026-06-15/2026-06-21
long okx / short bitget,okx,bitget,2026-06-15 00:00:00+00:00,0.0039529757881667,0.0,-0.0039529757881667,-39.529757881667,-152.10718010210098,8.0,8.0,KRX_REGULAR_EARLIER,PRE_GATE_REGIME,2026-06-15 00:00:00+00:00,2026-06-15/2026-06-21
long binance / short okx,binance,okx,2026-06-15 00:00:00+00:00,0.0,0.0039529757881667,0.0039529757881667,39.529757881667,79.856839293809,,8.0,KRX_REGULAR_EARLIER,PRE_GATE_REGIME,2026-06-15 00:00:00+00:00,2026-06-15/2026-06-21
long okx / short binance,okx,binance,2026-06-15 00:00:00+00:00,0.0039529757881667,0.0,-0.0039529757881667,-39.529757881667,-79.856839293809,8.0,,KRX_REGULAR_EARLIER,PRE_GATE_REGIME,2026-06-15 00:00:00+00:00,2026-06-15/2026-06-21
long bitget / short okx,bitget,okx,2026-06-23 08:00:00+00:00,0.001,0.0048822453571552,0.0038822453571552,38.822453571551996,432.90242144755,8.0,8.0,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-06-23 00:00:00+00:00,2026-06-22/2026-06-28
